benchmark_role,feature_set,feature_family,model_type,candidate_compatible,selected_by_validation,screening_eligible,formula_holdout_mae,formula_holdout_rmse,formula_holdout_r2,formula_holdout_beats_global_dummy,family_holdout_mae,family_holdout_rmse,family_holdout_r2,family_holdout_beats_global_dummy,grouped_bn_mae,grouped_non_bn_mae,grouped_bn_to_non_bn_mae_ratio,is_best_candidate_compatible_formula_holdout,is_best_candidate_compatible_family_holdout
candidate_model,matminer_composition,composition_only,torch_mlp,True,False,True,1.1942401820490969,1.765297213487408,0.042002547450128214,True,1.2032463382198795,1.7985980756628706,0.005517988871099999,True,1.235353096319665,0.6815189838959469,1.8126466400945869,True,True
candidate_model,basic_formula_composition,composition_only,torch_mlp,True,False,True,1.2955386654572736,1.9598194735704184,-0.18075779200384345,True,1.2879840705427654,1.9511478020361153,-0.170331840889832,True,1.341323994158126,0.8894408253778298,1.5080531002029716,False,False
candidate_model,fractional_composition_vector,composition_only,torch_mlp,True,False,True,1.2964623599830527,1.9979095326857295,-0.2271010309392434,True,1.3013041911573235,2.0129485439909476,-0.2456442557481302,True,1.3061506401330965,0.6671325112485881,1.9578578739754993,False,False
global_dummy_mean_baseline,matminer_composition,composition_only,dummy_mean,True,False,True,1.325744527546155,1.893393456667956,-0.10207316263052313,False,1.3254913742008145,1.8931717174659868,-0.1018150456361595,False,,,,False,False
candidate_model,fractional_composition_vector,composition_only,linear_regression,True,False,True,1.3614238876919749,2.002460195998732,-0.23269736357113668,False,1.3466313589279457,1.989771220030963,-0.2171244108306578,False,1.383675888950025,0.8390097080444678,1.649177447749734,False,False
candidate_model,fractional_composition_vector,composition_only,hist_gradient_boosting,True,False,True,1.3925204454038054,1.9873160076997038,-0.21412260320990972,False,1.3879228533072048,1.9946725342292058,-0.22312797182427202,False,1.3732405132849874,0.7883114924273121,1.7420024019396239,False,False
candidate_model,matminer_composition,composition_only,linear_regression,True,False,True,1.421702807119639,1.7280287611839718,0.0820255027247353,False,1.4139821232230967,1.7224701299534775,0.08792178733052258,False,1.418830737288395,0.8571144237991711,1.6553574387412697,False,False
candidate_model,basic_formula_composition,composition_only,linear_regression,True,False,True,1.4856784774141343,1.7698412353022714,0.03706426964707399,False,1.4733322682941667,1.7554563789690834,0.05265369112088869,False,1.4635303222430984,1.042809387954322,1.4034495077898215,False,False
screening_model,matminer_composition,composition_only,hist_gradient_boosting,True,False,True,1.6382932753929258,2.02946189070356,-0.2661655235789151,False,1.492292003261776,1.9225070489153704,-0.1362255856093728,False,1.5004198571334937,0.5830274445421929,2.5734978193207683,False,False
candidate_model,basic_formula_composition,composition_only,hist_gradient_boosting,True,False,True,1.9939971401773158,2.270857226073271,-0.5852886230154386,False,1.9154913606830088,2.282743784097187,-0.6019281038690851,False,2.202848048849842,0.9587985416856994,2.2975087602625393,False,False
bn_local_reference_baseline,matminer_composition,composition_only,bn_local_knn_mean,True,False,True,2.2142155555555556,2.419236837210966,-0.7992249150753783,False,1.690122222222222,2.076316853451304,-0.3253053195386799,False,,,,False,False
dummy_baseline,feature_agnostic_dummy,feature_agnostic_baseline,dummy_mean,False,False,True,,,,False,,,,False,1.3250597270878437,1.1162332147760292,1.1870814356242887,False,False
candidate_model,matminer_composition_plus_structure_summary,structure_aware,torch_mlp,False,False,False,1.0692558139519563,1.5879766953402605,0.22479434528628417,True,1.0990652267666683,1.616640327233701,0.19655620860499,True,1.2729213871815632,0.6073036990553898,2.096021132691084,False,False
candidate_model,matminer_composition_plus_structure_summary,structure_aware,linear_regression,False,False,False,1.2889470723349743,1.5940939927002988,0.2188102555451732,True,1.2849804735666557,1.591522910869878,0.2213281535243543,True,1.268311726546012,0.8913824654580509,1.4228591830043125,False,False
selected_model,matminer_composition_plus_structure_summary,structure_aware,hist_gradient_boosting,False,True,False,1.6397329414843025,1.9937788363436686,-0.2220321909536911,False,1.558819000757358,1.9204838466611098,-0.13383536856664247,False,1.790768004095579,0.5670410006756186,3.158092628155482,False,False
