benchmark_scope,benchmark_role,selected_by_validation,candidate_compatible,feature_set,feature_family,model_type,benchmark_status,benchmark_method,benchmark_train_scope,benchmark_group_column,completed_holds,completed_family_holds,completed_formula_holds,requested_folds,actual_folds,bn_family_count,bn_formula_count,non_bn_formula_count,bn_row_count,k_neighbors,mae,rmse,r2,bn_mae,bn_rmse,bn_r2,non_bn_mae,non_bn_rmse,non_bn_r2,bn_to_non_bn_mae_ratio
bn_family,candidate_model,False,True,basic_formula_composition,composition_only,torch_mlp,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.2879840705427654,1.9511478020361153,-0.170331840889832,,,,,,,
bn_family,candidate_model,False,True,basic_formula_composition,composition_only,torch_mlp_ensemble,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.3110124234914853,1.8921241673256457,-0.1005960466768358,,,,,,,
bn_family,candidate_model,False,True,fractional_composition_vector,composition_only,hist_gradient_boosting,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.3879228533072048,1.9946725342292055,-0.223127971824272,,,,,,,
bn_family,candidate_model,False,True,fractional_composition_vector,composition_only,linear_regression,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.3466313589279455,1.989771220030963,-0.2171244108306578,,,,,,,
bn_family,candidate_model,False,True,fractional_composition_vector,composition_only,torch_mlp,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.3013041911573235,2.0129485439909476,-0.2456442557481302,,,,,,,
bn_family,candidate_model,False,True,fractional_composition_vector,composition_only,torch_mlp_ensemble,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.2230110680671784,1.9682320315380375,-0.1909163935534095,,,,,,,
bn_family,candidate_model,False,True,matminer_composition,composition_only,linear_regression,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.413982123223097,1.7224701299534777,0.0879217873305225,,,,,,,
bn_family,candidate_model,False,True,matminer_composition,composition_only,torch_mlp,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.2032463382198797,1.7985980756628706,0.0055179888710999,,,,,,,
bn_family,candidate_model,False,True,matminer_composition,composition_only,torch_mlp_ensemble,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.1381739463254996,1.813506626939823,-0.0110368308908224,,,,,,,
bn_family,candidate_model,False,False,matminer_composition_plus_structure_summary,structure_aware,linear_regression,ok,leave_one_bn_family_out,full_dataset_minus_held_out_bn_family,reduced_bn_chemical_system,,5.0,10.0,,,5.0,10.0,,12.0,,1.2849804735666557,1.591522910869878,0.2213281535243543,,,,,,,
