feature_set,feature_family,candidate_compatible,n_features,model_type,benchmark_role,selected_by_validation,bn_slice_method,bn_slice_train_scope,bn_formula_count,bn_row_count,completed_holds,benchmark_status,benchmark_note,mae,rmse,r2,k_neighbors
fractional_composition_vector,composition_only,True,118,torch_roost_like,selected_model,True,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.398406844664158,2.0240872035152977,-0.2594679527799493,
fractional_composition_vector,composition_only,True,118,bn_local_knn_mean,bn_local_reference_baseline,False,leave_one_bn_formula_out,bn_only_reference_formulas,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",2.0876944444444447,2.331996310378145,-0.671800307548273,3.0
fractional_composition_vector,composition_only,True,118,dummy_mean,global_dummy_mean_baseline,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.3438901393433114,1.884247058797638,-0.09145133132255623,
