feature_set,feature_family,candidate_compatible,n_features,model_type,benchmark_role,selected_by_validation,bn_slice_method,bn_slice_train_scope,bn_formula_count,bn_row_count,completed_holds,benchmark_status,benchmark_note,mae,rmse,r2,k_neighbors
fractional_composition_vector,composition_only,True,118,torch_mlp_ensemble,selected_model,True,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.5749830295886036,2.1740256345979745,-0.4529745395513123,
fractional_composition_vector,composition_only,True,118,bn_local_knn_mean,bn_local_reference_baseline,False,leave_one_bn_formula_out,bn_only_reference_formulas,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",2.0876944444444447,2.331996310378145,-0.671800307548273,3.0
fractional_composition_vector,composition_only,True,118,hist_gradient_boosting,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.6735370344924902,2.207436049507349,-0.4979763068890668,
fractional_composition_vector,composition_only,True,118,linear_regression,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.747932405337755,2.3505040143869484,-0.6984418303060085,
fractional_composition_vector,composition_only,True,118,torch_fractional_attention,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.6888642923528372,2.149896204283201,-0.4209005054764885,
fractional_composition_vector,composition_only,True,118,torch_mlp,candidate_model,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.7054107590528242,2.330012831174792,-0.6689576178546968,
fractional_composition_vector,composition_only,True,118,dummy_mean,global_dummy_mean_baseline,False,leave_one_bn_formula_out,full_dataset_minus_held_out_bn_formula,10,12,10,ok,"Runs a dedicated BN-focused leave-one-formula-out benchmark because the standard grouped split can place zero BN formulas in validation/test. This is a small-sample diagnostic for BN-centered generalization, not a definitive BN-only benchmark.",1.3981941411316,1.834312529236976,-0.034368646592733976,
